Conference,Team,Odds
ACC,Miami Florida,-150
ACC,Louisville,+750
ACC,SMU,+750
ACC,Clemson,+1500
ACC,Virginia,+2000
ACC,Pittsburgh,+2200
ACC,Virginia Tech,+2500
ACC,NC State,+2500
ACC,Georgia Tech,+3500
ACC,California,+4000
ACC,Florida State,+4000
ACC,Duke,+7000
ACC,Wake Forest,+8000
ACC,Syracuse,+10000
ACC,North Carolina,+12500
ACC,Stanford,+40000
ACC,Boston College,+40000
Big Ten,Ohio State,+185
Big Ten,Oregon,+270
Big Ten,Indiana,+300
Big Ten,USC,+1400
Big Ten,Michigan,+1600
Big Ten,Penn State,+1700
Big Ten,Washington,+2700
Big Ten,Iowa,+5000
Big Ten,Wisconsin,+10000
Big Ten,Minnesota,+12500
Big Ten,Illinois,+12500
Big Ten,UCLA,+12500
Big Ten,Nebraska,+15000
Big Ten,Northwestern,+35000
Big Ten,Michigan State,+40000
Big Ten,Maryland,+40000
Big Ten,Purdue,+40000
Big 12,Texas Tech,-105
Big 12,BYU,+500
Big 12,Utah,+900
Big 12,Houston,+1500
Big 12,TCU,+1700
Big 12,Kansas State,+1900
Big 12,Arizona State,+2500
Big 12,Oklahoma State,+2500
Big 12,Arizona,+2500
Big 12,West Virginia,+4000
Big 12,Baylor,+4000
Big 12,Kansas,+4000
Big 12,UCF,+5000
Big 12,Cincinnati,+10000
Big 12,Colorado,+10000
Big 12,Iowa State,+12500
Pac-12,Boise State,+140
Pac-12,San Diego State,+500
Pac-12,Fresno State,+550
Pac-12,Texas State,+650
Pac-12,Washington State,+950
Pac-12,Utah State,+1100
Pac-12,Oregon State,+1900
Pac-12,Colorado State,+2200
SEC,Georgia,+270
SEC,Texas,+340
SEC,LSU,+850
SEC,Oklahoma,+850
SEC,Alabama,+900
SEC,Ole Miss,+1000
SEC,Texas A&M,+1100
SEC,Tennessee,+1800
SEC,Florida,+2200
SEC,Missouri,+3500
SEC,Auburn,+4000
SEC,South Carolina,+4000
SEC,Vanderbilt,+8000
SEC,Kentucky,+12500
SEC,Mississippi State,+15000
SEC,Arkansas,+30000
American,UTSA,+450
American,Navy,+470
American,Army,+650
American,South Florida,+650
American,Memphis,+700
American,Tulane,+700
American,East Carolina,+1100
American,Florida Atlantic,+1700
American,Tulsa,+1900
American,North Texas,+2200
American,Temple,+2700
American,Rice,+6000
American,UAB,+12500
American,Charlotte,+40000
Conference USA,Liberty,+260
Conference USA,Western Kentucky,+400
Conference USA,Jacksonville State,+500
Conference USA,Delaware,+550
Conference USA,Kennesaw State,+650
Conference USA,FIU,+850
Conference USA,New Mexico State,+2000
Conference USA,Missouri State,+2700
Conference USA,Middle Tennessee,+3500
Conference USA,Sam Houston State,+7000
MAC,Miami Ohio,+350
MAC,Toledo,+380
MAC,Western Michigan,+440
MAC,Ohio,+750
MAC,Central Michigan,+800
MAC,Eastern Michigan,+1000
MAC,Bowling Green,+1700
MAC,Buffalo,+1700
MAC,Akron,+2200
MAC,Sacramento State,+3500
MAC,Kent State,+4000
MAC,Ball State,+5500
MAC,Massachusetts,+15000
Sun Belt,James Madison,+290
Sun Belt,Old Dominion,+460
Sun Belt,Troy,+850
Sun Belt,Louisiana,+850
Sun Belt,Marshall,+900
Sun Belt,Louisiana Tech,+1100
Sun Belt,Arkansas State,+1200
Sun Belt,South Alabama,+1400
Sun Belt,Appalachian State,+1500
Sun Belt,Georgia Southern,+1700
Sun Belt,Coastal Carolina,+2500
Sun Belt,UL Monroe,+5000
Sun Belt,Southern Miss,+6000
Sun Belt,Georgia State,+7500
Mountain West,UNLV,+280
Mountain West,North Dakota State,+320
Mountain West,New Mexico,+330
Mountain West,Air Force,+650
Mountain West,Hawai'i,+700
Mountain West,Wyoming,+2600
Mountain West,San Jose State,+3900
Mountain West,Nevada,+4100
Mountain West,Northern Illinois,+10000
Mountain West,UTEP,+11000
